State,2019 (Sanitary),2019 (Non-Sanitary),2019 (Inert),2020 (Sanitary),2020 (Non-Sanitary),2020 (Inert),2021 (Sanitary),2021 (Non-Sanitary),2021 (Inert),2022 (Sanitary),2022 (Non-Sanitary),2022 (Inert),2023 (Sanitary),2023 (Non-Sanitary),2023 (Inert)
Johor,1,8,0,1,8,0,1,7,0,1,7,0,1,6,0
Kedah,2,2,0,3,1,0,3,1,0,3,1,0,3,1,0
Kelantan,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
Melaka,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Negeri Sembilan,1,2,0,1,2,0,1,2,0,1,2,0,2,1,0
Pahang,2,8,0,3,7,0,3,7,0,3,7,1,3,7,1
Perak,1,15,0,1,15,0,1,15,0,1,15,0,1,15,0
Perlis,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Pulau Pinang,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
Sabah,1,21,0,1,21,0,1,21,0,1,21,0,1,21,0
Sarawak,3,43,0,3,43,0,3,43,0,3,43,0,3,43,0
Selangor,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3
Terengganu,1,8,0,1,8,0,1,8,0,1,8,0,1,8,0
W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W.P. Labuan,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
W.P. Putrajaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,19,119,4,21,117,4,21,116,4,21,116,5,22,114,5
