Month,Domestic Waste (Tonne)  - 2019,Domestic Waste (Tonne)  - 2020,Domestic Waste (Tonne)  - 2021,Domestic Waste (Tonne)  - 2022,Domestic Waste (Tonne)  - 2023,Bulk Waste (Tonne) - 2019,Bulk Waste (Tonne) - 2020,Bulk Waste (Tonne) - 2021,Bulk Waste (Tonne) - 2022,Bulk Waste (Tonne) - 2023,Public Cleansing Waste (Tonne)  - 2019,Public Cleansing Waste (Tonne)  - 2020,Public Cleansing Waste (Tonne)  - 2021,Public Cleansing Waste (Tonne)  - 2022,Public Cleansing Waste (Tonne)  - 2023,Recycleable Waste (Tonne)  - 2019,Recycleable Waste (Tonne)  - 2020,Recycleable Waste (Tonne)  - 2021,Recycleable Waste (Tonne)  - 2022,Recycleable Waste (Tonne)  - 2023,Total 2019,Total  2020,Total  2021,Total  2022,Total  2023
January,"228,103","221,428","202,223","159,200","175,346","29,929","29,926","24,542","29,888","27,151","14,640","10,738","16,502","15,196","18,277",187,218,366,359,521,"272,859","262,311","243,633","204,643","221,294"
February,"203,175","207,956","193,117","146,556","151,558","25,072","30,557","23,211","24,606","24,220","12,519","8,716","12,810","13,870","17,489",186,191,329,317,455,"240,952","247,420","229,466","185,348","193,722"
March,"216,016","201,575","217,937","164,857","162,550","26,061","25,142","26,149","25,930","24,494","13,329","9,120","13,956","16,649","16,835",194,247,332,373,512,"255,600","236,084","258,375","207,810","204,391"
April,"213,757","165,698","217,365","163,547","162,297","26,305","19,248","23,196","23,792","23,424","12,586","9,483","13,786","16,099","15,644",157,288,322,350,447,"252,806","194,716","254,669","203,787","201,812"
May,"225,346","197,919","219,781","167,561","174,775","26,420","27,156","26,725","22,489","25,361","13,099","9,082","14,103","15,497","16,869",163,308,358,311,505,"265,028","234,464","260,968","205,858","217,510"
June,"228,477","214,327","206,815","171,109","165,267","24,708","31,582","29,665","23,371","23,923","12,465","10,098","14,031","18,375","16,048",176,225,371,319,461,"265,826","256,232","250,882","213,175","205,699"
July,"240,003","212,036","226,098","164,413","170,944","27,250","26,679","23,773","21,441","25,222","13,641","15,660","10,903","16,523","15,883",140,227,427,307,488,"281,035","254,602","261,201","202,684","212,538"
August,"224,073","215,224","227,752","163,066","171,564","28,411","26,658","23,201","22,775","25,681","13,103","14,984","13,615","17,280","16,332",140,254,384,351,503,"265,727","257,119","264,952","203,471","214,080"
September,"210,359","207,458","209,382","154,104","164,177","28,291","26,446","25,921","22,552","25,466","13,240","14,584","12,698","16,037","16,109",203,232,388,372,475,"252,093","248,719","248,389","193,065","206,227"
October,"223,915","205,135","211,492","163,813","168,850","27,151","28,640","24,963","23,942","26,392","14,557","15,026","16,360","17,122","16,777",183,257,390,385,497,"265,806","249,057","253,206","205,263","212,516"
November,"206,120","207,700","211,738","161,339","158,200","25,071","26,232","25,666","24,367","26,175","13,865","15,093","14,185","16,666","16,269",183,332,351,400,500,"245,239","249,356","251,940","202,772","201,143"
December,"208,725","211,990","218,120","166,278","159,445","24,568","27,503","28,514","26,728","27,247","12,392","14,492","14,527","17,702","16,274",233,312,336,441,466,"245,918","254,297","261,497","211,150","203,431"
 Total,"2,628,070","2,468,446","2,561,820","1,945,845","1,984,971","319,237","325,767","305,527","291,882","304,756","159,434","147,075","167,477","197,015","198,806","2,146","3,088","4,354","4,286","5,830","3,108,888","2,944,377","3,039,178","2,439,028","2,494,407"
