 State,2019,2020,2021,2022,2023
Johor,"3,761.2","4,009.7","4,020.0","4,028.3","4,100.9"
Kedah,"2,173.7","2,131.4","2,151.7","2,163.1","2,187.5"
Kelantan,"1,883.8","1,792.5","1,812.3","1,830.6","1,857.6"
Melaka,928.4,998.4,"1,004.5","1,008.6","1,027.5"
Negeri Sembilan,"1,126.2","1,200.0","1,204.2","1,207.9","1,224.3"
Pahang,"1,671.4","1,591.3","1,601.5","1,614.3","1,642.7"
Perak,"2,508.8","2,496.0","2,515.8","2,514.4","2,540.4"
Perlis,254.0,284.9,287.6,289.8,292.7
Pulau Pinang,"1,768.8","1,740.4","1,740.0","1,740.9","1,771.6"
Sabah,"3,904.4","3,418.8","3,412.6","3,414.9","3,592.8"
Sarawak,"2,806.0","2,453.7","2,465.6","2,473.5","2,509.5"
Selangor,"6,506.1","6,994.4","7,014.7","7,050.3","7,205.3"
Terengganu,"1,244.5","1,149.4","1,170.7","1,186.6","1,209.4"
W.P. Kuala Lumpur,"1,782.5","1,982.1","1,964.0","1,961.2","1,998.6"
W.P. Labuan,99.3,95.1,96.0,96.9,99.5
W.P. Putrajaya,103.7,109.2,115.2,117.0,119.2
 Total,"32,523.0","32,447.4","32,576.3","32,698.1","33,379.5"
