 Month,2019,2020,2021,2022,2023
January,"203,168","225,175","244,146","265,750","275,657"
Februari,"177,907","216,397","224,971","233,381","246,135"
 March,"194,194","201,387","254,228","263,785","266,637"
April,"190,919","171,165","250,697","258,974","257,390"
May,"197,768","219,304","256,425","256,131","275,122"
Jun,"196,795","240,296","233,864","265,654","260,520"
July,"215,152","251,169","250,020","256,034","268,591"
 August,"208,170","245,405","250,259","257,562","272,264"
September,"197,786","242,978","241,889","244,588","264,158"
 October,"214,318","246,702","252,366","256,972","276,242"
November,"209,460","242,642","256,580","258,365","264,471"
December,"213,463","259,456","260,640","273,173","263,785"
 Total,"2,419,101","2,762,076","2,976,085","3,090,369","3,190,972"
